condition,task,bin_index,env_frame_start,env_frame_end,env_frame_mid,seed_count,mean_return,std_return
dreamer-v3,Alien,0,0,13333,6666,5,275.8333333333333,69.1894340038837
dreamer-v3,Alien,1,13333,26666,20000,5,261.8,53.77787649210408
dreamer-v3,Alien,2,26666,40000,33333,5,243.73333333333335,53.14776048381008
dreamer-v3,Alien,3,40000,53333,46666,5,213.1,30.216551755618973
dreamer-v3,Alien,4,53333,66666,60000,5,214.0,26.951808844676826
dreamer-v3,Alien,5,66666,80000,73333,5,245.5,61.36774397026503
dreamer-v3,Alien,6,80000,93333,86666,5,218.4,33.848945494817286
dreamer-v3,Alien,7,93333,106666,100000,5,245.6,37.913585955432914
dreamer-v3,Alien,8,106666,120000,113333,5,240.2666666666667,40.08956638993909
dreamer-v3,Alien,9,120000,133333,126666,5,227.2,29.06303494131334
dreamer-v3,Alien,10,133333,146666,140000,5,217.4,35.18737147203683
dreamer-v3,Alien,11,146666,160000,153333,5,217.7,27.86682615584344
dreamer-v3,Alien,12,160000,173333,166666,5,219.6,37.21075113458475
dreamer-v3,Alien,13,173333,186666,180000,5,220.8,19.782820830205182
dreamer-v3,Alien,14,186666,200000,193333,5,219.66666666666669,39.010682297716016
dreamer-v3,Alien,15,200000,213333,206666,5,217.16666666666669,34.01731585204479
dreamer-v3,Alien,16,213333,226666,220000,5,210.6333333333333,33.89106732524729
dreamer-v3,Alien,17,226666,240000,233333,5,223.4,43.6686513543882
dreamer-v3,Alien,18,240000,253333,246666,5,232.0,35.726740685374594
dreamer-v3,Alien,19,253333,266666,260000,5,212.13333333333335,44.18828401787565
dreamer-v3,Alien,20,266666,280000,273333,5,226.73333333333335,54.61151689687605
dreamer-v3,Alien,21,280000,293333,286666,5,267.2857142857143,124.26971252580881
dreamer-v3,Alien,22,293333,306666,300000,5,200.81428571428572,41.9161845903494
dreamer-v3,Alien,23,306666,320000,313333,5,197.88333333333333,55.459184190818306
dreamer-v3,Alien,24,320000,333333,326666,5,207.55714285714285,61.625703622261184
dreamer-v3,Alien,25,333333,346666,340000,5,201.50476190476192,95.02886827163977
dreamer-v3,Alien,26,346666,360000,353333,5,227.98095238095237,89.23038336347514
dreamer-v3,Alien,27,360000,373333,366666,5,253.8904761904762,84.06122323462039
dreamer-v3,Alien,28,373333,386666,380000,5,243.18333333333334,157.80431271391512
dreamer-v3,Alien,29,386666,400000,393333,5,298.4142857142857,155.03049630501897
