condition,task,bin_index,env_frame_start,env_frame_end,env_frame_mid,seed_count,mean_return,std_return
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,0,0,13333,6666,1,1.2222222222222223,0.0
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,1,13333,26666,20000,1,1.8125,0.0
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,2,26666,40000,33333,1,1.6470588235294117,0.0
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,3,40000,53333,46666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,4,53333,66666,60000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,5,66666,80000,73333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,6,80000,93333,86666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,7,93333,106666,100000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,8,106666,120000,113333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,9,120000,133333,126666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,10,133333,146666,140000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,11,146666,160000,153333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,12,160000,173333,166666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,13,173333,186666,180000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,14,186666,200000,193333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,15,200000,213333,206666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,16,213333,226666,220000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,17,226666,240000,233333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,18,240000,253333,246666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,19,253333,266666,260000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,20,266666,280000,273333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,21,280000,293333,286666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,22,293333,306666,300000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,23,306666,320000,313333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,24,320000,333333,326666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,25,333333,346666,340000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,26,346666,360000,353333,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,27,360000,373333,366666,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,28,373333,386666,380000,0,,
smoke-dense-multistride-no-sparse-breakout-seed1-10000steps-p0-smoke-10k,Breakout,29,386666,400000,393333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,0,0,13333,6666,1,1.2941176470588236,0.0
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,1,13333,26666,20000,1,0.95,0.0
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,2,26666,40000,33333,1,1.6111111111111112,0.0
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,3,40000,53333,46666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,4,53333,66666,60000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,5,66666,80000,73333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,6,80000,93333,86666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,7,93333,106666,100000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,8,106666,120000,113333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,9,120000,133333,126666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,10,133333,146666,140000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,11,146666,160000,153333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,12,160000,173333,166666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,13,173333,186666,180000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,14,186666,200000,193333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,15,200000,213333,206666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,16,213333,226666,220000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,17,226666,240000,233333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,18,240000,253333,246666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,19,253333,266666,260000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,20,266666,280000,273333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,21,280000,293333,286666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,22,293333,306666,300000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,23,306666,320000,313333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,24,320000,333333,326666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,25,333333,346666,340000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,26,346666,360000,353333,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,27,360000,373333,366666,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,28,373333,386666,380000,0,,
smoke-dreamerv3-breakout-seed1-10000steps-p0-smoke-10k,Breakout,29,386666,400000,393333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,0,0,13333,6666,1,0.9473684210526315,0.0
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,1,13333,26666,20000,1,2.2,0.0
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,2,26666,40000,33333,1,1.7647058823529411,0.0
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,3,40000,53333,46666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,4,53333,66666,60000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,5,66666,80000,73333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,6,80000,93333,86666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,7,93333,106666,100000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,8,106666,120000,113333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,9,120000,133333,126666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,10,133333,146666,140000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,11,146666,160000,153333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,12,160000,173333,166666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,13,173333,186666,180000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,14,186666,200000,193333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,15,200000,213333,206666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,16,213333,226666,220000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,17,226666,240000,233333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,18,240000,253333,246666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,19,253333,266666,260000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,20,266666,280000,273333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,21,280000,293333,286666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,22,293333,306666,300000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,23,306666,320000,313333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,24,320000,333333,326666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,25,333333,346666,340000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,26,346666,360000,353333,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,27,360000,373333,366666,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,28,373333,386666,380000,0,,
smoke-flat-mh-breakout-seed1-10000steps-p0-smoke-10k,Breakout,29,386666,400000,393333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,0,0,13333,6666,1,0.8421052631578947,0.0
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,1,13333,26666,20000,1,1.3888888888888888,0.0
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,2,26666,40000,33333,1,2.2666666666666666,0.0
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,3,40000,53333,46666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,4,53333,66666,60000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,5,66666,80000,73333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,6,80000,93333,86666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,7,93333,106666,100000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,8,106666,120000,113333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,9,120000,133333,126666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,10,133333,146666,140000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,11,146666,160000,153333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,12,160000,173333,166666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,13,173333,186666,180000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,14,186666,200000,193333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,15,200000,213333,206666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,16,213333,226666,220000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,17,226666,240000,233333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,18,240000,253333,246666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,19,253333,266666,260000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,20,266666,280000,273333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,21,280000,293333,286666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,22,293333,306666,300000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,23,306666,320000,313333,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,24,320000,333333,326666,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,25,333333,346666,340000,0,,
smoke-flat-sae-breakout-seed1-10000steps-p0-smoke-10k,Breakout,26,346666,360000,353333,0,,
