method,condition,game,seed,agent_actions,frames,episode_index,episode_score,episode_hns
DreamerV3,official_size12m,Alien,0,597,2388,1,150.0,-1.127552573225699
DreamerV3,official_size12m,Alien,0,1163,4652,2,130.0,-1.417411846548501
DreamerV3,official_size12m,Alien,0,1849,7396,3,260.0,0.46667343004971074
DreamerV3,official_size12m,Alien,0,2396,9584,4,110.0,-1.7072711198713029
DreamerV3,official_size12m,Alien,0,3160,12640,5,270.0,0.6116030667111116
DreamerV3,official_size12m,Alien,0,3772,15088,6,160.0,-0.9826229365642982
DreamerV3,official_size12m,Alien,0,4563,18252,7,260.0,0.46667343004971074
DreamerV3,official_size12m,Alien,0,5140,20560,8,170.0,-0.8376932999028973
DreamerV3,official_size12m,Alien,0,5730,22920,9,200.0,-0.40290438991869465
DreamerV3,official_size12m,Alien,0,6230,24920,10,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,0,6856,27424,11,170.0,-0.8376932999028973
DreamerV3,official_size12m,Alien,0,7545,30180,12,190.0,-0.5478340265800955
DreamerV3,official_size12m,Alien,0,8533,34132,13,220.0,-0.11304511659589286
DreamerV3,official_size12m,Alien,0,9182,36728,14,220.0,-0.11304511659589286
DreamerV3,official_size12m,Alien,0,9879,39516,15,220.0,-0.11304511659589286
DreamerV3,official_size12m,Alien,0,10410,41640,16,190.0,-0.5478340265800955
DreamerV3,official_size12m,Alien,0,10867,43468,17,160.0,-0.9826229365642982
DreamerV3,official_size12m,Alien,0,11324,45296,18,190.0,-0.5478340265800955
DreamerV3,official_size12m,Alien,0,11707,46828,19,140.0,-1.2724822098871
DreamerV3,official_size12m,Alien,0,12415,49660,20,390.0,2.3507587066479223
DreamerV3,official_size12m,Alien,0,13134,52536,21,270.0,0.6116030667111116
DreamerV3,official_size12m,Alien,0,13615,54460,22,290.0,0.9014623400339135
DreamerV3,official_size12m,Alien,0,14367,57468,23,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,0,14754,59016,24,280.0,0.7565327033725125
DreamerV3,official_size12m,Alien,0,15289,61156,25,250.0,0.3217437933883099
DreamerV3,official_size12m,Alien,0,15848,63392,26,280.0,0.7565327033725125
DreamerV3,official_size12m,Alien,0,16252,65008,27,90.0,-1.9971303931941047
DreamerV3,official_size12m,Alien,0,16941,67764,28,210.0,-0.25797475325729374
DreamerV3,official_size12m,Alien,0,17393,69572,29,60.0,-2.431919303178307
DreamerV3,official_size12m,Alien,0,17886,71544,30,150.0,-1.127552573225699
DreamerV3,official_size12m,Alien,0,18315,73260,31,120.0,-1.5623414832099018
DreamerV3,official_size12m,Alien,0,18851,75404,32,230.0,0.031884520065508036
DreamerV3,official_size12m,Alien,0,19749,78996,33,280.0,0.7565327033725125
DreamerV3,official_size12m,Alien,0,20465,81860,34,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,0,21001,84004,35,310.0,1.191321613356715
DreamerV3,official_size12m,Alien,0,21588,86352,36,280.0,0.7565327033725125
DreamerV3,official_size12m,Alien,0,22094,88376,37,250.0,0.3217437933883099
DreamerV3,official_size12m,Alien,0,22705,90820,38,190.0,-0.5478340265800955
DreamerV3,official_size12m,Alien,0,23310,93240,39,270.0,0.6116030667111116
DreamerV3,official_size12m,Alien,0,24085,96340,40,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,0,24817,99268,41,320.0,1.336251250018116
DreamerV3,official_size12m,Alien,0,25511,102044,42,390.0,2.3507587066479223
DreamerV3,official_size12m,Alien,0,26146,104584,43,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,0,26885,107540,44,910.0,9.88709981304077
DreamerV3,official_size12m,Alien,0,27443,109772,45,250.0,0.3217437933883099
DreamerV3,official_size12m,Alien,0,28139,112556,46,410.0,2.6406179799707243
DreamerV3,official_size12m,Alien,0,28983,115932,47,910.0,9.88709981304077
DreamerV3,official_size12m,Alien,0,29681,118724,48,400.0,2.4956883433093235
DreamerV3,official_size12m,Alien,0,30453,121812,49,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,0,30930,123720,50,260.0,0.46667343004971074
DreamerV3,official_size12m,Alien,0,31391,125564,51,240.0,0.17681415672690892
DreamerV3,official_size12m,Alien,0,31974,127896,52,290.0,0.9014623400339135
DreamerV3,official_size12m,Alien,0,32643,130572,53,360.0,1.9159697966637197
DreamerV3,official_size12m,Alien,0,33049,132196,54,200.0,-0.40290438991869465
DreamerV3,official_size12m,Alien,0,33650,134600,55,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,0,34471,137884,56,440.0,3.075406889954927
DreamerV3,official_size12m,Alien,0,35041,140164,57,420.0,2.785547616632125
DreamerV3,official_size12m,Alien,0,35544,142176,58,290.0,0.9014623400339135
DreamerV3,official_size12m,Alien,0,36245,144980,59,260.0,0.46667343004971074
DreamerV3,official_size12m,Alien,0,37175,148700,60,980.0,10.901607269670576
DreamerV3,official_size12m,Alien,0,37909,151636,61,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,0,38351,153404,62,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,0,38907,155628,63,460.0,3.3652661632777288
DreamerV3,official_size12m,Alien,0,39502,158008,64,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,0,40125,160500,65,410.0,2.6406179799707243
DreamerV3,official_size12m,Alien,0,40783,163132,66,400.0,2.4956883433093235
DreamerV3,official_size12m,Alien,0,41592,166368,67,430.0,2.930477253293526
DreamerV3,official_size12m,Alien,0,42099,168396,68,340.0,1.6261105233409179
DreamerV3,official_size12m,Alien,0,42889,171556,69,450.0,3.220336526616328
DreamerV3,official_size12m,Alien,0,43893,175572,70,350.0,1.7710401600023187
DreamerV3,official_size12m,Alien,0,44520,178080,71,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,0,45062,180248,72,300.0,1.0463919766953143
DreamerV3,official_size12m,Alien,0,45716,182864,73,320.0,1.336251250018116
DreamerV3,official_size12m,Alien,0,46438,185752,74,390.0,2.3507587066479223
DreamerV3,official_size12m,Alien,0,47235,188940,75,500.0,3.9449847099233324
DreamerV3,official_size12m,Alien,0,47751,191004,76,380.0,2.2058290699865215
DreamerV3,official_size12m,Alien,0,48494,193976,77,930.0,10.17695908636357
DreamerV3,official_size12m,Alien,0,49022,196088,78,520.0,4.234843983246134
DreamerV3,official_size12m,Alien,0,49682,198728,79,520.0,4.234843983246134
