bin,step_start,step_end,step_center,mean_score,std_score,count
0,0,43863,21931,196.250000,52.544624,16
1,43863,87726,65794,250.000000,85.569984,18
2,87726,131588,109657,352.666667,54.950483,15
3,131588,175451,153520,420.000000,63.893293,17
4,175451,219314,197383,427.500000,57.608593,16
5,219314,263177,241245,452.222222,53.805778,18
6,263177,307040,285108,481.666667,51.559028,18
7,307040,350902,328971,742.500000,291.215127,16
8,350902,394765,372834,704.444444,195.226997,18
9,394765,438628,416697,735.882353,225.885417,17
