bin,step_start,step_end,step_center,mean_score,std_score,count
0,0,21931,10966,196.250000,54.529235,8
1,21931,43863,32897,196.250000,50.482051,8
2,43863,65794,54829,203.750000,77.449580,8
3,65794,87726,76760,287.000000,72.807967,10
4,87726,109657,98691,340.000000,16.903085,7
5,109657,131588,120623,363.750000,71.752613,8
6,131588,153520,142554,398.888889,61.363117,9
7,153520,175451,164486,443.750000,58.081301,8
8,175451,197383,186417,443.750000,58.081301,8
9,197383,219314,208348,411.250000,52.306190,8
10,219314,241245,230280,448.888889,67.896072,9
11,241245,263177,252211,455.555556,34.029762,9
12,263177,285108,274142,471.250000,50.358093,8
13,285108,307040,296074,490.000000,50.990195,10
14,307040,328971,318005,764.285714,280.502465,7
15,328971,350902,339937,725.555556,298.183803,9
16,350902,372834,361868,642.000000,156.831119,10
17,372834,394765,383800,782.500000,209.866029,8
18,394765,416697,405731,777.777778,277.679983,9
19,416697,438628,427662,688.750000,132.234404,8
