checkpoint_index,global_step,metric_name,metric_value,smoke_metric,notes
0,0,prefix_reconstruction_nrmse,1.0,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,marginal_prefix_gain,0.1,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,level_horizon_prediction_nrmse,1.2,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,predictive_utility_per_active_feature,0.1,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,macro_state_probe_accuracy,0.25,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,factor_probe_fast,0.125,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,factor_probe_mid,0.125,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,factor_probe_slow,0.125,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,factor_probe_context,0.25,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,factor_probe_nuisance,0.0625,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,boundary_f1,0.0,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,boundary_detection_delay,8.0,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,false_change_rate,0.84375,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,revisit_similarity,0.2,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,activation_ratio,0.25,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,alive_feature_ratio,0.5,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,dead_feature_ratio,0.5,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,minimum_variance,6.240962102310732e-05,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,mean_variance,0.07243449240922928,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,off_diagonal_covariance_norm,0.2,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,topk_utilization_entropy,0.5,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
0,0,effective_rank,8.0,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,prefix_reconstruction_nrmse,0.6,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,marginal_prefix_gain,0.2,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,level_horizon_prediction_nrmse,0.85,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,predictive_utility_per_active_feature,0.30000000000000004,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,macro_state_probe_accuracy,0.55,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,factor_probe_fast,0.5375,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,factor_probe_mid,0.5125,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,factor_probe_slow,0.4875,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,factor_probe_context,0.6,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,factor_probe_nuisance,0.23125,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,boundary_f1,0.25,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,boundary_detection_delay,4.0,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,false_change_rate,0.6328125,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,revisit_similarity,0.5,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,activation_ratio,0.25,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,alive_feature_ratio,0.725,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,dead_feature_ratio,0.275,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,minimum_variance,6.240962102310732e-05,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,mean_variance,0.07243449240922928,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,off_diagonal_covariance_norm,0.1,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,topk_utilization_entropy,0.725,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
1,1,effective_rank,20.0,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
2,2,prefix_reconstruction_nrmse,0.19999999999999996,True,smoke structural placeholder from synthetic labels; replace with model checkpoint evaluator
